id	title	lon	lat	geowkt	ccodes
8349904	Biertan	24.52361111	46.13972222	MULTIPOINT (24.523611111111 46.139722222222)	RO
8349835	Boeun	127.7186111	36.48444444	MULTIPOINT (127.71861111111 36.484444444444)	KR
8349905	Bolgar	49.03333333	54.96666667	MULTIPOINT (49.033333333333 54.966666666667)	RU
8349906	Bordeaux	-0.579444444	44.83777778	MULTIPOINT (-0.57944444444444 44.837777777778)	FR
8350005	Brasília	-47.88277778	-15.79388889	MULTIPOINT (-47.882777777778 -15.793888888889)	BR
8350006	Bridgetown	-59.61666667	13.0975	MULTIPOINT (-59.616666666667 13.0975)	BB
8349907	Bruges	3.216666667	51.25	MULTIPOINT (3.2166666666667 51.25)	BE
8349908	Brussels	4.351666667	50.84666667	MULTIPOINT (4.351666666666667 50.84666666666666)	BE
8349909	Budapest	19.04083333	47.49833333	MULTIPOINT (19.040833333333 47.498333333333)	HU
8349836	Bursa	29.06666667	40.18333333	MULTIPOINT (29.066666666667 40.183333333333)	TR
8349837	Buyeo County	126.9125	36.28194444	MULTIPOINT (126.9125 36.281944444444, 126.85802 36.26257)	KR
8349910	Cáceres	-6.371111111	39.47305556	MULTIPOINT (-6.3711111111111 39.473055555556)	ES
8349806	Cairo	31.23944444	30.05611111	MULTIPOINT (31.239444444444 30.056111111111)	EG
8350007	Camagüey	-77.91861111	21.37861111	MULTIPOINT (-77.91861111111101 21.378611111111)	CU
8350008	Campeche	-90.52527778	19.84861111	MULTIPOINT (-90.525277777778 19.848611111111)	MX
8349911	Carcassonne	2.351388889	43.21583333	MULTIPOINT (2.3513888888889 43.215833333333)	FR
8350009	Cartagena	-75.52527778	10.42361111	MULTIPOINT (-75.525277777778 10.423611111111)	CO
8349912	Český Krumlov	14.31520771	48.81099044	MULTIPOINT (14.31520771066 48.810990441614)	CZ
8349838	Chengde	117.9322222	40.97388889	MULTIPOINT (117.93222222222 40.973888888889)	CN
8349794	Cidade Velha	-23.60416667	14.91666667	MULTIPOINT (-23.604166666667 14.916666666667)	CV
8349913	Coimbra	-8.429072	40.211141	MULTIPOINT (-8.429072 40.211141)	PT
8350010	Colonia del Sacramento	-57.84416667	-34.47138889	MULTIPOINT (-57.844166666667 -34.471388888889)	UY
8349914	Córdoba	-4.77275	37.89155	MULTIPOINT (-4.77275 37.89155)	ES
8349915	Cuenca	-2.135	40.07166667	MULTIPOINT (-2.135 40.071666666667)	ES
8350011	Cuenca	40.0776	-2.1162	MULTIPOINT (40.0776 -2.1162)	EC
8350012	Cuernavaca	-99.23416667	18.91861111	MULTIPOINT (-99.23416666666699 18.918611111111)	MX
8350013	Cusco	-71.978056	-13.518333	MULTIPOINT (-71.978056 -13.518333)	PE
8349795	Dakar	-17.45722222	14.73194444	MULTIPOINT (-17.457222222222 14.731944444444)	SN
8349807	Damascus	36.29194444	33.51305556	MULTIPOINT (36.291944444444 33.513055555556)	SY
8349839	Denpasar	115.2166667	-8.666666667	MULTIPOINT (115.21666666667 -8.6666666666667)	ID
8349916	Derbent	48.29583333	42.06916667	MULTIPOINT (48.295833333333 42.069166666667)	RU
8349917	Dessau	12.24611111	51.83416667	MULTIPOINT (12.246111111111 51.834166666667)	DE
8350014	Diamantina	-43.6167	-18.2833		BR
8349840	Diyarbakır	40.23666667	37.91083333	MULTIPOINT (40.236666666667 37.910833333333)	TR
8349918	Dubrovnik	18.10833333	42.64027778	MULTIPOINT (18.108333333333 42.640277777778)	HR
